Commodity_Group ,Commodity_Name ,Measure_Names,Mode ,Port_Border,Port_Coast,Port_District,Port_Name,Port_State  ,Select_Date,Trade_Type,Year_of_Trade,No.,Measure_Values,Partner
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Gulf Coast,Houston-Galveston Customs District ,All,All,January,Export,2019,28,2747282930,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Gulf Coast,Houston-Galveston Customs District ,All,All,January,Export,2019,28,1291473572,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Southern Border Ports,Continental,Laredo Customs District ,All,All,January,Export,2019,29,388987,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Southern Border Ports,Continental,Laredo Customs District ,All,All,January,Export,2019,29,10006811492,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Southern Border Ports,Gulf Coast,Laredo Customs District ,All,All,January,Export,2019,30,44895,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Southern Border Ports,Gulf Coast,Laredo Customs District ,All,All,January,Export,2019,30,755976485,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Pacific,Los Angeles Customs District ,All,All,January,Export,2019,31,97696335,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Pacific,Los Angeles Customs District ,All,All,January,Export,2019,31,94944800,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Border - Not Applicable,,Low-Valued Imports And Exports,All,All,January,Export,2019,32,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Border - Not Applicable,,Low-Valued Imports And Exports,All,All,January,Export,2019,32,2681674837,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Border - Not Applicable,,Mail Shipments (Export Only),All,All,January,Export,2019,33,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Border - Not Applicable,,Mail Shipments (Export Only),All,All,January,Export,2019,33,2180703,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Miami Customs District ,All,All,January,Export,2019,34,5219300,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Miami Customs District ,All,All,January,Export,2019,34,127244638,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Great Lakes,Milwaukee Customs District ,All,All,January,Export,2019,35,5883399,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Great Lakes,Milwaukee Customs District ,All,All,January,Export,2019,35,2850852,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Minneapolis Customs District ,All,All,January,Export,2019,36,16553751,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Minneapolis Customs District ,All,All,January,Export,2019,36,40381825,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Gulf Coast,Mobile Customs District ,All,All,January,Export,2019,37,216963953,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Gulf Coast,Mobile Customs District ,All,All,January,Export,2019,37,101814749,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,New Orleans Customs District ,All,All,January,Export,2019,38,153775,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,New Orleans Customs District ,All,All,January,Export,2019,38,74132290,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Gulf Coast,New Orleans Customs District ,All,All,January,Export,2019,39,2114598326,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Gulf Coast,New Orleans Customs District ,All,All,January,Export,2019,39,1527047141,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,New York City Customs District ,All,All,January,Export,2019,40,5346518,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,New York City Customs District ,All,All,January,Export,2019,40,98932298,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,New York City Customs District ,All,All,January,Export,2019,41,19449,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,New York City Customs District ,All,All,January,Export,2019,41,3018421,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Southern Border Ports,Continental,Nogales Customs District ,All,All,January,Export,2019,42,13575,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Southern Border Ports,Continental,Nogales Customs District ,All,All,January,Export,2019,42,1034613507,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Nogales Customs District ,All,All,January,Export,2019,43,986,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Nogales Customs District ,All,All,January,Export,2019,43,646593,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Norfolk Customs District ,All,All,January,Export,2019,44,977107,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Norfolk Customs District ,All,All,January,Export,2019,44,4430848,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Continental,Ogdensburg Customs District ,All,All,January,Export,2019,45,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Continental,Ogdensburg Customs District ,All,All,January,Export,2019,45,760072923,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Great Lakes,Ogdensburg Customs District ,All,All,January,Export,2019,46,155312273,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Great Lakes,Ogdensburg Customs District ,All,All,January,Export,2019,46,750038712,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Continental,Pembina Customs District ,All,All,January,Export,2019,47,348141,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Continental,Pembina Customs District ,All,All,January,Export,2019,47,1983891146,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Pembina Customs District ,All,All,January,Export,2019,48,0,All Partners (Canada and Mexico)
