Customer City,Customer Name
AUGUSTA,OLIN CHLOR ALKALI PRODUCTS
AUGUSTA,PRAYON INC
AUGUSTA,STATE OF MAINE
AURORA,CABOT MICROELECTRONICS CORP
AURORA,CITY OF AURORA
AURORA,"ENGINEERING SYSTEMS, INC."
AURORA,MACHAVERT PHARMACEUTICALS LLC
AURORA,PCS PHOSPHATE
AURORA,SAINT-GOBAIN PPL
AURORA,UNIVERSAL STAINLESS  ALLOY PROD
AURORA,UNIVERSITY OF COLORADO
AUSTIN,AEGLEA BIOTHERAPEUTICS
AUSTIN,AMC COMPANY
AUSTIN,APPLIED FOOD SCIENCES INC
AUSTIN,APPLIED MATERIALS INC
AUSTIN,ASURAGEN INC
AUSTIN,AUSTIN CITY POLICE DEPT
AUSTIN,AUSTIN COMMUNITY COLLEGE
AUSTIN,BALCONES PAIN CONSULTANTS
AUSTIN,CERIUM LABORATORIES LLC
AUSTIN,CITY OF AUSTIN
AUSTIN,CONSOLIDATED TECHNOLOGIES
AUSTIN,CSA SERVICE SOLUTIONS
AUSTIN,"FIFTH GENERATION, INC"
AUSTIN,GENOTOX LABS
AUSTIN,HAAS TCM INC
AUSTIN,HORMEL FOODS CORPORATION
AUSTIN,LL'S MAGNETIC CLAY INC
AUSTIN,LOWER COLORADO RIVER AUTHORITY
AUSTIN,MOLECULAR TEMPLATES
AUSTIN,MTPV POWER CORPORATION
AUSTIN,NANOHMICS INC
AUSTIN,PREMIER RESEARCH LABS LP
AUSTIN,PURE CASTINGS COMPANY
AUSTIN,SACHEM INC
AUSTIN,SAINT EDWARDS UNIVERSITY
AUSTIN,SAMSUNG AUSTIN SEMICONDUCTOR
AUSTIN,SIGNATURE SCIENCE
AUSTIN,SPANSION LLC
AUSTIN,STATE OF TEXAS
AUSTIN,TEXAS ALCOHOLIC BEVERAGE COMMISSION
AUSTIN,TEXAS COMMISSION ON ENV QUALITY
AUSTIN,TEXAS DEPT OF STATE HEALTH SERVICES
AUSTIN,TEXAS DEPT OF TRANSPORTATION
AUSTIN,TEXAS PARKS & WILDLIFE DEPARTMENT
AUSTIN,THE UNIVERSITY OF TEXAS AT AUSTIN
AUSTIN,ULTIMATE EOR
AUSTIN,VA MEDICAL CENTER
AUSTIN,WORLDWIDE CLINICAL TRIALS DRUG DEVE
AUTAUGAVILLE,J CRAIG VENTER INSTITUTE INC
AUTAUGAVILLE,LIFE TECHNOLOGIES CORPORATION
AUTAUGAVILLE,PATHEON PHARMACEUTICALS INC.
AUTAUGAVILLE,UNIVERSITY OF WASHINGTON
AUTAUGAVILLE,WOODS HOLE OCEANOGRAPHIC INST
AVENEL,NANOTECH INDUSTRIAL SOLUTIONS
AVERY ISLAND,MCILHENNY COMPANY
AVON,ORAFOL AMERICAS INC.
AYER,CREATIVE MATERIALS INC
AYER,"NASHOBA ANALYTICAL, LLC"
AZUSA,MAGPARTS CORPORATION
AZUSA,S&B PHARMA INC
BAINBRIDGE,"MEREDIAN, INC"
BAINBRIDGE ISLAND,BERYLLIUM
BAKERSFIELD,BC LABORATORIES
BAKERSFIELD,COUNTY OF KERN
BAKERSFIELD,WM BOLTHOUSE FARMS
BAKERSFIELD,WONDERFUL CITRUS
BALA CYNWYD,DICALITE MANAGEMENT GROUP (HQ)
BALA CYNWYD,THE PUROLITE COMPANY
BALLARD,SIMPLOT PHOSPHATES LLC
BALLSTON SPA,GLOBAL FOUNDRIES US
BALTIMORE,AMERICAN YEAST CORP - HQ
BALTIMORE,C2N DIAGNOSTICS LLC
BALTIMORE,CALVERT CLIFFS NUCLEAR POWER PLANT
BALTIMORE,CANGENE BIOPHARMA
BALTIMORE,CITY OF BALTIMORE
BALTIMORE,COPPIN STATE COLLEGE
BALTIMORE,DAP INC
BALTIMORE,HYDRO ALUMINUM METALS USA LLC
