"North American Cruises,  January 1, 2004 - March 31, 2012",,,,,,,,,,,
Cruise Line,Vessel Name,Sail Date,Departure Port,Destination,Nights,Passengers,Normal Capacity,Month,Quarter,Year,Passengers Nights
Royal Caribbean International,SOVEREIGN OF THE SEAS,10/31/2008,Port Canaveral,Bahamas,3,"1,921","2,276",10,4,2008,"5,763"
Princess Cruises,EMERALD PRINCESS,10/31/2008,Fort Lauderdale,Eastern Caribbean,10,"3,030","3,070",10,4,2008,"30,300"
Carnival Cruise Line,CARNIVAL PARADISE,10/31/2008,Long Beach,Mexico (Pacific),3,"2,453","2,052",10,4,2008,"7,359"
Norwegian Cruise Line,NORWEGIAN STAR,11/1/2008,Los Angeles,Mexico (Pacific),7,"1,656","2,240",11,4,2008,"11,592"
Carnival Cruise Line,CARNIVAL ECSTASY,11/1/2008,Galveston,Western Caribbean,5,"2,243","2,052",11,4,2008,"11,215"
Carnival Cruise Line,CARNIVAL GLORY,11/1/2008,Port Canaveral,Western Caribbean,7,"3,212","2,974",11,4,2008,"22,484"
Royal Caribbean International,EXPLORER OF THE SEAS,11/1/2008,Cape Liberty,Eastern Caribbean,8,"3,665","3,114",11,4,2008,"29,320"
Carnival Cruise Line,CARNIVAL ELATION,11/1/2008,San Diego,Mexico (Pacific),5,"2,037","2,052",11,4,2008,"10,185"
Carnival Cruise Line,CARNIVAL FASCINATION,11/1/2008,Jacksonville,Bahamas,5,"2,250","2,052",11,4,2008,"11,250"
Disney Cruise Line,DISNEY MAGIC,11/1/2008,Port Canaveral,Western Caribbean,7,"2,180","1,754",11,4,2008,"15,260"
Holland America Line,EURODAM,11/1/2008,Fort Lauderdale,Eastern Caribbean,7,"2,192","2,104",11,4,2008,"15,344"
Holland America Line,RYNDAM,11/1/2008,San Diego,Mexico (Pacific),10,"1,268","1,266",11,4,2008,"12,680"
Carnival Cruise Line,CARNIVAL FANTASY,11/1/2008,New Orleans,Western Caribbean,5,"2,190","2,052",11,4,2008,"10,950"
Royal Caribbean International,ENCHANTMENT OF THE SEAS,11/1/2008,Fort Lauderdale,Western Caribbean,5,"2,313","2,250",11,4,2008,"11,565"
Norwegian Cruise Line,NORWEGIAN MAJESTY,11/1/2008,Philadelphia,Southern Caribbean,14,"1,279","1,462",11,4,2008,"17,906"
Princess Cruises,SAPPHIRE PRINCESS,11/1/2008,Los Angeles,Mexico (Pacific),7,"2,822","2,670",11,4,2008,"19,754"
Holland America Line,OOSTERDAM,11/1/2008,San Diego,Mexico (Pacific),7,"1,930","1,848",11,4,2008,"13,510"
Royal Caribbean International,LIBERTY OF THE SEAS,11/1/2008,Miami,Western Caribbean,7,"4,022","3,630",11,4,2008,"28,154"
Carnival Cruise Line,CARNIVAL LIBERTY,11/1/2008,Miami,Eastern Caribbean,7,"3,223","2,974",11,4,2008,"22,561"
Holland America Line,VEENDAM,11/1/2008,Tampa,Western Caribbean,8,"1,284","1,266",11,4,2008,"10,272"
Norwegian Cruise Line,PRIDE OF AMERICA,11/1/2008,Honolulu,Hawaii,7,"2,083","2,062",11,4,2008,"14,581"
Carnival Cruise Line,CARNIVAL TRIUMPH,11/2/2008,Miami,Western Caribbean,7,"3,078","2,758",11,4,2008,"21,546"
Carnival Cruise Line,CARNIVAL SENSATION,11/2/2008,Port Canaveral,Bahamas,4,"2,258","2,052",11,4,2008,"9,032"
Celebrity Cruise Line,CELEBRITY INFINITY,11/2/2008,San Diego,Trans-Panama Canal,13,"1,962","2,046",11,4,2008,"25,506"
Princess Cruises,CARIBBEAN PRINCESS,11/2/2008,San Juan,Southern Caribbean,7,"3,196","3,100",11,4,2008,"22,372"
Princess Cruises,CROWN PRINCESS,11/2/2008,Fort Lauderdale,Eastern Caribbean,7,"3,147","3,080",11,4,2008,"22,029"
Royal Caribbean International,MARINER OF THE SEAS,11/2/2008,Port Canaveral,Western Caribbean,7,"3,273","3,114",11,4,2008,"22,911"
Royal Caribbean International,ADVENTURE OF THE SEAS,11/2/2008,San Juan,Southern Caribbean,7,"3,281","3,114",11,4,2008,"22,967"
Carnival Cruise Line,CARNIVAL CONQUEST,11/2/2008,Galveston,Western Caribbean,7,"3,129","2,974",11,4,2008,"21,903"
Norwegian Cruise Line,NORWEGIAN DAWN,11/2/2008,New York,Southern Caribbean,13,"2,340","2,240",11,4,2008,"30,420"
Holland America Line,WESTERDAM,11/2/2008,Fort Lauderdale,Eastern Caribbean,7,"1,760","1,848",11,4,2008,"12,320"
Carnival Cruise Line,CARNIVAL VALOR,11/2/2008,Miami,Eastern Caribbean,7,"3,151","2,974",11,4,2008,"22,057"
Carnival Cruise Line,CARNIVAL LEGEND,11/2/2008,Tampa,Western Caribbean,7,"2,112","2,124",11,4,2008,"14,784"
Norwegian Cruise Line,NORWEGIAN PEARL,11/2/2008,Miami,Western Caribbean,7,"2,227","2,394",11,4,2008,"15,589"
Carnival Cruise Line,CARNIVAL VICTORY,11/2/2008,San Juan,Southern Caribbean,7,"2,887","2,758",11,4,2008,"20,209"
Holland America Line,AMSTERDAM,11/2/2008,Melbourne,South Pacific/Far East,19,"1,190","1,380",11,4,2008,"22,610"
Disney Cruise Line,DISNEY WONDER,11/2/2008,Port Canaveral,Bahamas,4,"2,437","1,754",11,4,2008,"9,748"
Carnival Cruise Line,CARNIVAL PRIDE,11/2/2008,Long Beach,Mexico (Pacific),7,"2,273","2,124",11,4,2008,"15,911"
Royal Caribbean International,VISION OF THE SEAS,11/2/2008,Los Angeles,Mexico (Pacific),7,"2,093","2,000",11,4,2008,"14,651"
Royal Caribbean International,FREEDOM OF THE SEAS,11/2/2008,Miami,Eastern Caribbean,7,"3,929","3,634",11,4,2008,"27,503"
Carnival Cruise Line,CARNIVAL INSPIRATION,11/3/2008,Tampa,Western Caribbean,5,"2,249","2,052",11,4,2008,"11,245"
Royal Caribbean International,SOVEREIGN OF THE SEAS,11/3/2008,Port Canaveral,Bahamas,4,"1,829","2,276",11,4,2008,"7,316"
Carnival Cruise Line,CARNIVAL PARADISE,11/3/2008,Long Beach,Mexico (Pacific),4,"2,195","2,052",11,4,2008,"8,780"
Norwegian Cruise Line,NORWEGIAN SKY,11/3/2008,Miami,Bahamas,4,"2,111","2,002",11,4,2008,"8,444"
Carnival Cruise Line,CARNIVAL DESTINY,11/3/2008,Miami,Eastern Caribbean,5,"2,935","2,642",11,4,2008,"14,675"
Carnival Cruise Line,HOLIDAY,11/3/2008,Mobile,Western Caribbean,5,"1,516","1,452",11,4,2008,"7,580"
Royal Caribbean International,MAJESTY OF THE SEAS,11/3/2008,Miami,Bahamas,4,"2,430","2,354",11,4,2008,"9,720"
Carnival Cruise Line,CARNIVAL IMAGINATION,11/3/2008,Miami,Western Caribbean,4,"2,231","2,052",11,4,2008,"8,924"
Carnival Cruise Line,CARNIVAL SPIRIT,11/4/2008,San Diego,Mexico (Pacific),8,"2,243","2,124",11,4,2008,"17,944"
Norwegian Cruise Line,NORWEGIAN SUN,11/4/2008,San Francisco,South America,19,"1,898","2,000",11,4,2008,"36,062"
Holland America Line,ROTTERDAM,11/4/2008,Lisbon,Transatlantic,15,"1,197","1,316",11,4,2008,"17,955"
Carnival Cruise Line,CARNIVAL MIRACLE,11/5/2008,Fort Lauderdale,Southern Caribbean,8,"2,206","2,124",11,4,2008,"17,648"
Princess Cruises,CORAL PRINCESS,11/5/2008,Los Angeles,Trans-Panama Canal,14,"1,930","1,974",11,4,2008,"27,020"
Carnival Cruise Line,CARNIVAL SENSATION,11/6/2008,Port Canaveral,Bahamas,3,"2,256","2,052",11,4,2008,"6,768"
Carnival Cruise Line,CARNIVAL ELATION,11/6/2008,San Diego,Mexico (Pacific),4,"2,274","2,052",11,4,2008,"9,096"
Carnival Cruise Line,CARNIVAL FASCINATION,11/6/2008,Jacksonville,Bahamas,4,"2,237","2,052",11,4,2008,"8,948"
Disney Cruise Line,DISNEY WONDER,11/6/2008,Port Canaveral,Bahamas,3,"2,680","1,754",11,4,2008,"8,040"
Carnival Cruise Line,CARNIVAL FANTASY,11/6/2008,New Orleans,Western Caribbean,4,"2,269","2,052",11,4,2008,"9,076"
Royal Caribbean International,INDEPENDENCE OF THE SEAS,11/6/2008,Southampton,Transatlantic,13,"3,471","3,634",11,4,2008,"45,123"
Royal Caribbean International,ENCHANTMENT OF THE SEAS,11/6/2008,Fort Lauderdale,Western Caribbean,4,"2,297","2,250",11,4,2008,"9,188"
Carnival Cruise Line,CARNIVAL FREEDOM,11/6/2008,Rome,Transatlantic,16,"2,825","2,974",11,4,2008,"45,200"
Celebrity Cruise Line,CELEBRITY MERCURY,11/6/2008,San Diego,Hawaii,15,"1,904","1,870",11,4,2008,"28,560"
Carnival Cruise Line,CARNIVAL ECSTASY,11/6/2008,Galveston,Western Caribbean,4,"2,251","2,052",11,4,2008,"9,004"
Princess Cruises,ISLAND PRINCESS,11/6/2008,Fort Lauderdale,Southern Caribbean,10,"1,944","1,950",11,4,2008,"19,440"
Norwegian Cruise Line,NORWEGIAN SKY,11/7/2008,Miami,Bahamas,3,"2,141","2,002",11,4,2008,"6,423"
Holland America Line,ZAANDAM,11/7/2008,San Diego,Hawaii,15,"1,401","1,440",11,4,2008,"21,015"
Holland America Line,NOORDAM,11/7/2008,Fort Lauderdale,Southern Caribbean,10,"1,868","1,848",11,4,2008,"18,680"
Carnival Cruise Line,CARNIVAL PARADISE,11/7/2008,Long Beach,Mexico (Pacific),3,"2,201","2,052",11,4,2008,"6,603"
Royal Caribbean International,JEWEL OF THE SEAS,11/7/2008,Miami,Western Caribbean,10,"2,023","2,110",11,4,2008,"20,230"
Carnival Cruise Line,CARNIVAL IMAGINATION,11/7/2008,Miami,Bahamas,3,"2,294","2,052",11,4,2008,"6,882"
Royal Caribbean International,MAJESTY OF THE SEAS,11/7/2008,Miami,Bahamas,3,"1,932","2,354",11,4,2008,"5,796"
Holland America Line,MAASDAM,11/7/2008,Fort Lauderdale,Southern Caribbean,14,"1,204","1,266",11,4,2008,"16,856"
Royal Caribbean International,LIBERTY OF THE SEAS,11/8/2008,Miami,Eastern Caribbean,7,"3,921","3,630",11,4,2008,"27,447"
Windstar Cruises,WIND SPIRIT,11/8/2008,Lisbon,Transatlantic,14,72,148,11,4,2008,"1,008"
Holland America Line,EURODAM,11/8/2008,Fort Lauderdale,Eastern Caribbean,7,"2,073","2,104",11,4,2008,"14,511"
Disney Cruise Line,DISNEY MAGIC,11/8/2008,Port Canaveral,Eastern Caribbean,7,"2,404","1,754",11,4,2008,"16,828"
Holland America Line,OOSTERDAM,11/8/2008,San Diego,Mexico (Pacific),7,"1,959","1,848",11,4,2008,"13,713"
Carnival Cruise Line,HOLIDAY,11/8/2008,Mobile,Western Caribbean,5,"1,552","1,452",11,4,2008,"7,760"
Royal Caribbean International,SERENADE OF THE SEAS,11/8/2008,San Juan,Southern Caribbean,7,"2,070","2,100",11,4,2008,"14,490"
Carnival Cruise Line,CARNIVAL LIBERTY,11/8/2008,Miami,Western Caribbean,7,"3,221","2,974",11,4,2008,"22,547"
Norwegian Cruise Line,NORWEGIAN STAR,11/8/2008,Los Angeles,Mexico (Pacific),7,"2,245","2,240",11,4,2008,"15,715"
Carnival Cruise Line,CARNIVAL INSPIRATION,11/8/2008,Tampa,Western Caribbean,5,"2,215","2,052",11,4,2008,"11,075"
Carnival Cruise Line,CARNIVAL DESTINY,11/8/2008,Miami,Western Caribbean,5,"2,797","2,642",11,4,2008,"13,985"
Seabourn Cruise Line,SEABOURN LEGEND,11/8/2008,Malaga,Transatlantic,13,185,208,11,4,2008,"2,405"
Carnival Cruise Line,CARNIVAL GLORY,11/8/2008,Port Canaveral,Eastern Caribbean,7,"3,119","2,974",11,4,2008,"21,833"
Norwegian Cruise Line,PRIDE OF AMERICA,11/8/2008,Honolulu,Hawaii,7,"2,139","2,062",11,4,2008,"14,973"
Princess Cruises,RUBY PRINCESS,11/8/2008,Fort Lauderdale,Western Caribbean,7,"3,064","3,070",11,4,2008,"21,448"
Princess Cruises,SAPPHIRE PRINCESS,11/8/2008,Los Angeles,Mexico (Pacific),7,"2,910","2,670",11,4,2008,"20,370"
Carnival Cruise Line,CARNIVAL SENSATION,11/9/2008,Port Canaveral,Bahamas,4,"2,170","2,052",11,4,2008,"8,680"
Carnival Cruise Line,CARNIVAL TRIUMPH,11/9/2008,Miami,Eastern Caribbean,7,"3,036","2,758",11,4,2008,"21,252"
Princess Cruises,CROWN PRINCESS,11/9/2008,Fort Lauderdale,Eastern Caribbean,7,"3,163","3,080",11,4,2008,"22,141"
Carnival Cruise Line,CARNIVAL PRIDE,11/9/2008,Long Beach,Mexico (Pacific),7,"2,344","2,124",11,4,2008,"16,408"
Holland America Line,ZUIDERDAM,11/9/2008,Fort Lauderdale,Western Caribbean,10,"1,876","1,848",11,4,2008,"18,760"
Disney Cruise Line,DISNEY WONDER,11/9/2008,Port Canaveral,Bahamas,4,"2,444","1,754",11,4,2008,"9,776"
Carnival Cruise Line,CARNIVAL VALOR,11/9/2008,Miami,Western Caribbean,7,"3,130","2,974",11,4,2008,"21,910"
Norwegian Cruise Line,NORWEGIAN PEARL,11/9/2008,Miami,Western Caribbean,7,"2,373","2,394",11,4,2008,"16,611"
Royal Caribbean International,EXPLORER OF THE SEAS,11/9/2008,Cape Liberty,Southern Caribbean,12,"3,501","3,114",11,4,2008,"42,012"
Carnival Cruise Line,CARNIVAL LEGEND,11/9/2008,Tampa,Western Caribbean,7,"2,309","2,124",11,4,2008,"16,163"
Carnival Cruise Line,CARNIVAL CONQUEST,11/9/2008,Galveston,Western Caribbean,7,"3,157","2,974",11,4,2008,"22,099"
Royal Caribbean International,FREEDOM OF THE SEAS,11/9/2008,Miami,Western Caribbean,7,"3,937","3,634",11,4,2008,"27,559"
Royal Caribbean International,MARINER OF THE SEAS,11/9/2008,Port Canaveral,Eastern Caribbean,7,"3,308","3,114",11,4,2008,"23,156"
Norwegian Cruise Line,NORWEGIAN JEWEL,11/9/2008,Miami,Western Caribbean,5,"2,219","2,376",11,4,2008,"11,095"
Carnival Cruise Line,CARNIVAL VICTORY,11/9/2008,San Juan,Southern Caribbean,7,"3,435","2,758",11,4,2008,"24,045"
Princess Cruises,CARIBBEAN PRINCESS,11/9/2008,San Juan,Southern Caribbean,7,"2,977","3,100",11,4,2008,"20,839"
Holland America Line,WESTERDAM,11/9/2008,Fort Lauderdale,Eastern Caribbean,7,"1,704","1,848",11,4,2008,"11,928"
Silversea Cruises,SILVER SHADOW,11/9/2008,Los Angeles,Mexico (Pacific),9,355,382,11,4,2008,"3,195"
Holland America Line,VEENDAM,11/9/2008,Tampa,Western Caribbean,7,"1,267","1,266",11,4,2008,"8,869"
Royal Caribbean International,VISION OF THE SEAS,11/9/2008,Los Angeles,Mexico (Pacific),7,"2,129","2,000",11,4,2008,"14,903"
Royal Caribbean International,ADVENTURE OF THE SEAS,11/9/2008,San Juan,Southern Caribbean,7,"2,889","3,114",11,4,2008,"20,223"
Royal Caribbean International,RADIANCE OF THE SEAS,11/9/2008,Fort Lauderdale,Trans-Panama Canal,14,"1,828","2,100",11,4,2008,"25,592"
Carnival Cruise Line,CARNIVAL FANTASY,11/10/2008,New Orleans,Western Caribbean,5,"2,151","2,052",11,4,2008,"10,755"
Carnival Cruise Line,CARNIVAL ELATION,11/10/2008,San Diego,Mexico (Pacific),5,"2,258","2,052",11,4,2008,"11,290"
Carnival Cruise Line,CARNIVAL FASCINATION,11/10/2008,Jacksonville,Bahamas,5,"2,138","2,052",11,4,2008,"10,690"
Princess Cruises,EMERALD PRINCESS,11/10/2008,Fort Lauderdale,Southern Caribbean,10,"3,060","3,070",11,4,2008,"30,600"
Royal Caribbean International,ENCHANTMENT OF THE SEAS,11/10/2008,Fort Lauderdale,Western Caribbean,5,"2,264","2,250",11,4,2008,"11,320"
Crystal Cruises,CRYSTAL SYMPHONY,11/10/2008,Miami,Trans-Panama Canal,13,696,940,11,4,2008,"9,048"
Norwegian Cruise Line,NORWEGIAN SKY,11/10/2008,Miami,Bahamas,4,"2,111","2,002",11,4,2008,"8,444"
Holland America Line,STATENDAM,11/10/2008,Fort Lauderdale,Trans-Panama Canal,13,"1,161","1,266",11,4,2008,"15,093"
Royal Caribbean International,MAJESTY OF THE SEAS,11/10/2008,Miami,Bahamas,4,"1,841","2,354",11,4,2008,"7,364"
Carnival Cruise Line,CARNIVAL IMAGINATION,11/10/2008,Miami,Western Caribbean,4,"2,180","2,052",11,4,2008,"8,720"
Princess Cruises,STAR PRINCESS,11/10/2008,San Francisco,Mexico (Pacific),10,"2,551","2,600",11,4,2008,"25,510"
Royal Caribbean International,NAVIGATOR OF THE SEAS,11/10/2008,Barcelona,Transatlantic,12,"2,670","3,114",11,4,2008,"32,040"
Royal Caribbean International,GRANDEUR OF THE SEAS,11/10/2008,Tampa,Eastern Caribbean,10,"1,944","1,950",11,4,2008,"19,440"
Carnival Cruise Line,CARNIVAL ECSTASY,11/10/2008,Galveston,Western Caribbean,5,"2,188","2,052",11,4,2008,"10,940"
Royal Caribbean International,MONARCH OF THE SEAS,11/10/2008,Port Canaveral,Bahamas,4,"2,325","2,354",11,4,2008,"9,300"
Celebrity Cruise Line,CELEBRITY CONSTELLATION,11/10/2008,Fort Lauderdale,Western Caribbean,11,"1,987","1,950",11,4,2008,"21,857"
Carnival Cruise Line,CARNIVAL PARADISE,11/10/2008,Long Beach,Mexico (Pacific),4,"2,243","2,052",11,4,2008,"8,972"
Seabourn Cruise Line,SEABOURN PRIDE,11/11/2008,Fort Lauderdale,Southern Caribbean,11,179,208,11,4,2008,"1,969"
Holland America Line,RYNDAM,11/11/2008,San Diego,Mexico (Pacific),10,"1,282","1,266",11,4,2008,"12,820"
Carnival Cruise Line,CARNIVAL SPIRIT,11/12/2008,San Diego,Mexico (Pacific),8,"2,296","2,124",11,4,2008,"18,368"
Princess Cruises,GOLDEN PRINCESS,11/12/2008,Los Angeles,Hawaii,14,"2,617","2,600",11,4,2008,"36,638"
Fred Olsen Cruise Line,BRAEMAR,11/13/2008,Miami,Western Caribbean,14,899,927,11,4,2008,"12,586"
Carnival Cruise Line,CARNIVAL SENSATION,11/13/2008,Port Canaveral,Bahamas,3,"2,241","2,052",11,4,2008,"6,723"
Carnival Cruise Line,CARNIVAL MIRACLE,11/13/2008,Fort Lauderdale,Western Caribbean,8,"2,191","2,124",11,4,2008,"17,528"
Carnival Cruise Line,HOLIDAY,11/13/2008,Mobile,Western Caribbean,4,"1,574","1,452",11,4,2008,"6,296"
Carnival Cruise Line,CARNIVAL INSPIRATION,11/13/2008,Tampa,Western Caribbean,4,"2,295","2,052",11,4,2008,"9,180"
Disney Cruise Line,DISNEY WONDER,11/13/2008,Port Canaveral,Bahamas,3,"2,441","1,754",11,4,2008,"7,323"
Carnival Cruise Line,CARNIVAL DESTINY,11/13/2008,Miami,Western Caribbean,4,"2,771","2,642",11,4,2008,"11,084"
Carnival Cruise Line,CARNIVAL SPLENDOR,11/14/2008,Fort Lauderdale,Bahamas,3,"3,260","3,006",11,4,2008,"9,780"
Norwegian Cruise Line,NORWEGIAN JEWEL,11/14/2008,Miami,Southern Caribbean,9,"2,347","2,376",11,4,2008,"21,123"
Carnival Cruise Line,CARNIVAL PARADISE,11/14/2008,Long Beach,Mexico (Pacific),3,"2,296","2,052",11,4,2008,"6,888"
Royal Caribbean International,MAJESTY OF THE SEAS,11/14/2008,Miami,Bahamas,3,"2,496","2,354",11,4,2008,"7,488"
Norwegian Cruise Line,NORWEGIAN SKY,11/14/2008,Miami,Bahamas,3,"2,094","2,002",11,4,2008,"6,282"
Royal Caribbean International,MONARCH OF THE SEAS,11/14/2008,Port Canaveral,Bahamas,3,"2,391","2,354",11,4,2008,"7,173"
Carnival Cruise Line,CARNIVAL IMAGINATION,11/14/2008,Miami,Bahamas,3,"2,243","2,052",11,4,2008,"6,729"
Holland America Line,OOSTERDAM,11/15/2008,San Diego,Mexico (Pacific),7,"1,902","1,848",11,4,2008,"13,314"
Cunard Line,QUEEN MARY 2,11/15/2008,Southampton,Transatlantic,6,"2,477","2,620",11,4,2008,"14,862"
MSC Italian Cruises,MSC LIRICA,11/15/2008,Genoa,Transatlantic,18,"1,444","1,530",11,4,2008,"25,992"
Carnival Cruise Line,CARNIVAL ECSTASY,11/15/2008,Galveston,Western Caribbean,5,"2,248","2,052",11,4,2008,"11,240"
Norwegian Cruise Line,NORWEGIAN STAR,11/15/2008,Los Angeles,Mexico (Pacific),7,"2,308","2,240",11,4,2008,"16,156"
Princess Cruises,SAPPHIRE PRINCESS,11/15/2008,Los Angeles,Mexico (Pacific),7,"2,866","2,670",11,4,2008,"20,062"
Carnival Cruise Line,CARNIVAL GLORY,11/15/2008,Port Canaveral,Western Caribbean,7,"3,267","2,974",11,4,2008,"22,869"
Carnival Cruise Line,CARNIVAL ELATION,11/15/2008,San Diego,Mexico (Pacific),5,"2,283","2,052",11,4,2008,"11,415"
Carnival Cruise Line,CARNIVAL FANTASY,11/15/2008,New Orleans,Western Caribbean,5,"2,223","2,052",11,4,2008,"11,115"
Carnival Cruise Line,CARNIVAL FASCINATION,11/15/2008,Jacksonville,Bahamas,5,"2,167","2,052",11,4,2008,"10,835"
Holland America Line,EURODAM,11/15/2008,Fort Lauderdale,Eastern Caribbean,7,"2,123","2,104",11,4,2008,"14,861"
Carnival Cruise Line,CARNIVAL LIBERTY,11/15/2008,Miami,Eastern Caribbean,7,"3,250","2,974",11,4,2008,"22,750"
Royal Caribbean International,LIBERTY OF THE SEAS,11/15/2008,Miami,Western Caribbean,7,"3,878","3,630",11,4,2008,"27,146"
Royal Caribbean International,ENCHANTMENT OF THE SEAS,11/15/2008,Fort Lauderdale,Western Caribbean,5,"2,299","2,250",11,4,2008,"11,495"
Norwegian Cruise Line,PRIDE OF AMERICA,11/15/2008,Honolulu,Hawaii,7,"2,166","2,062",11,4,2008,"15,162"
Princess Cruises,RUBY PRINCESS,11/15/2008,Fort Lauderdale,Western Caribbean,7,"3,020","3,070",11,4,2008,"21,140"
Disney Cruise Line,DISNEY MAGIC,11/15/2008,Port Canaveral,Western Caribbean,7,"2,597","1,754",11,4,2008,"18,179"
Princess Cruises,ROYAL PRINCESS,11/15/2008,Fort Lauderdale,Trans-Panama Canal,12,631,710,11,4,2008,"7,572"
Norwegian Cruise Line,NORWEGIAN DAWN,11/15/2008,Miami,Eastern Caribbean,7,"2,159","2,240",11,4,2008,"15,113"
Norwegian Cruise Line,NORWEGIAN MAJESTY,11/15/2008,Charleston,Bahamas,7,"1,253","1,462",11,4,2008,"8,771"
Royal Caribbean International,SERENADE OF THE SEAS,11/15/2008,San Juan,Southern Caribbean,7,"2,098","2,100",11,4,2008,"14,686"
Carnival Cruise Line,CARNIVAL SENSATION,11/16/2008,Port Canaveral,Bahamas,4,"2,213","2,052",11,4,2008,"8,852"
Carnival Cruise Line,CARNIVAL TRIUMPH,11/16/2008,Miami,Western Caribbean,7,"3,011","2,758",11,4,2008,"21,077"
Holland America Line,WESTERDAM,11/16/2008,Fort Lauderdale,Western Caribbean,7,"1,932","1,848",11,4,2008,"13,524"
Carnival Cruise Line,CARNIVAL VICTORY,11/16/2008,San Juan,Southern Caribbean,7,"3,078","2,758",11,4,2008,"21,546"
Royal Caribbean International,VISION OF THE SEAS,11/16/2008,Los Angeles,Mexico (Pacific),7,"2,062","2,000",11,4,2008,"14,434"
Carnival Cruise Line,CARNIVAL VALOR,11/16/2008,Miami,Eastern Caribbean,7,"3,117","2,974",11,4,2008,"21,819"
Princess Cruises,ISLAND PRINCESS,11/16/2008,Fort Lauderdale,Trans-Panama Canal,14,"1,942","1,950",11,4,2008,"27,188"
Norwegian Cruise Line,NORWEGIAN PEARL,11/16/2008,Miami,Western Caribbean,7,"1,935","2,394",11,4,2008,"13,545"
Carnival Cruise Line,CARNIVAL PRIDE,11/16/2008,Long Beach,Mexico (Pacific),7,"2,364","2,124",11,4,2008,"16,548"
Holland America Line,VEENDAM,11/16/2008,Tampa,Western Caribbean,7,"1,258","1,266",11,4,2008,"8,806"
Princess Cruises,CARIBBEAN PRINCESS,11/16/2008,San Juan,Southern Caribbean,7,"3,337","3,100",11,4,2008,"23,359"
Royal Caribbean International,MARINER OF THE SEAS,11/16/2008,Port Canaveral,Western Caribbean,7,"3,332","3,114",11,4,2008,"23,324"
Carnival Cruise Line,CARNIVAL LEGEND,11/16/2008,Tampa,Western Caribbean,7,"2,237","2,124",11,4,2008,"15,659"
Princess Cruises,CROWN PRINCESS,11/16/2008,Fort Lauderdale,Eastern Caribbean,7,"3,149","3,080",11,4,2008,"22,043"
Royal Caribbean International,ADVENTURE OF THE SEAS,11/16/2008,San Juan,Southern Caribbean,7,"3,353","3,114",11,4,2008,"23,471"
Carnival Cruise Line,CARNIVAL CONQUEST,11/16/2008,Galveston,Western Caribbean,7,"3,264","2,974",11,4,2008,"22,848"
Disney Cruise Line,DISNEY WONDER,11/16/2008,Port Canaveral,Bahamas,4,"2,314","1,754",11,4,2008,"9,256"
Royal Caribbean International,FREEDOM OF THE SEAS,11/16/2008,Miami,Eastern Caribbean,7,"3,795","3,634",11,4,2008,"26,565"
Norwegian Cruise Line,NORWEGIAN GEM,11/16/2008,Barcelona,Transatlantic,13,"2,147","2,394",11,4,2008,"27,911"
Carnival Cruise Line,CARNIVAL SPLENDOR,11/17/2008,Fort Lauderdale,Eastern Caribbean,4,"3,035","3,006",11,4,2008,"12,140"
Carnival Cruise Line,CARNIVAL PARADISE,11/17/2008,Long Beach,Mexico (Pacific),4,"2,207","2,052",11,4,2008,"8,828"
Carnival Cruise Line,CARNIVAL IMAGINATION,11/17/2008,Miami,Western Caribbean,4,"2,176","2,052",11,4,2008,"8,704"
Carnival Cruise Line,CARNIVAL INSPIRATION,11/17/2008,Tampa,Western Caribbean,5,"2,231","2,052",11,4,2008,"11,155"
Royal Caribbean International,MONARCH OF THE SEAS,11/17/2008,Port Canaveral,Bahamas,4,"2,399","2,354",11,4,2008,"9,596"
Royal Caribbean International,JEWEL OF THE SEAS,11/17/2008,Miami,Southern Caribbean,11,"2,082","2,110",11,4,2008,"22,902"
Royal Caribbean International,MAJESTY OF THE SEAS,11/17/2008,Miami,Bahamas,4,"2,405","2,354",11,4,2008,"9,620"
Holland America Line,NOORDAM,11/17/2008,Fort Lauderdale,Southern Caribbean,10,"1,905","1,848",11,4,2008,"19,050"
Carnival Cruise Line,HOLIDAY,11/17/2008,Mobile,Western Caribbean,5,"1,513","1,452",11,4,2008,"7,565"
Norwegian Cruise Line,NORWEGIAN SKY,11/17/2008,Miami,Bahamas,4,"2,054","2,002",11,4,2008,"8,216"
Carnival Cruise Line,CARNIVAL DESTINY,11/17/2008,Miami,Eastern Caribbean,5,"2,779","2,642",11,4,2008,"13,895"
Silversea Cruises,SILVER SHADOW,11/18/2008,Los Angeles,Trans-Panama Canal,15,339,382,11,4,2008,"5,085"
Holland America Line,ZUIDERDAM,11/19/2008,Fort Lauderdale,Western Caribbean,10,"1,945","1,848",11,4,2008,"19,450"
Princess Cruises,CORAL PRINCESS,11/19/2008,Fort Lauderdale,Southern Caribbean,10,"1,993","1,974",11,4,2008,"19,930"
Royal Caribbean International,INDEPENDENCE OF THE SEAS,11/19/2008,Fort Lauderdale,Nowhere,4,"3,969","3,634",11,4,2008,"15,876"
Carnival Cruise Line,CARNIVAL SENSATION,11/20/2008,Port Canaveral,Bahamas,3,"2,396","2,052",11,4,2008,"7,188"
Carnival Cruise Line,CARNIVAL SPIRIT,11/20/2008,San Diego,Mexico (Pacific),8,"2,575","2,124",11,4,2008,"20,600"
Disney Cruise Line,DISNEY WONDER,11/20/2008,Port Canaveral,Bahamas,3,"2,681","1,754",11,4,2008,"8,043"
