"North American Cruises,  January 1, 2004 - March 31, 2012",,,,,,,,,,,
Cruise Line,Vessel Name,Sail Date,Departure Port,Destination,Nights,Passengers,Normal Capacity,Month,Quarter,Year,Passengers Nights
Crystal Cruises,CRYSTAL SYMPHONY,1/28/2004,Fort Lauderdale,Trans-Panama Canal,11,415,940,1,1,2004,"4,565"
Disney Cruise Line,DISNEY WONDER,1/29/2004,Port Canaveral,Bahamas,3,"2,303","1,754",1,1,2004,"6,909"
Carnival Cruise Line,CARNIVAL IMAGINATION,1/29/2004,Miami,Western Caribbean,4,"2,166","2,052",1,1,2004,"8,664"
Carnival Cruise Line,CARNIVAL FANTASY,1/29/2004,Port Canaveral,Bahamas,3,"2,201","2,052",1,1,2004,"6,603"
Royal Caribbean International,ENCHANTMENT OF THE SEAS,1/29/2004,Fort Lauderdale,Western Caribbean,4,"2,025","2,250",1,1,2004,"8,100"
Carnival Cruise Line,CARNIVAL SENSATION,1/29/2004,Tampa,Western Caribbean,4,"2,125","2,052",1,1,2004,"8,500"
Celebrity Cruise Line,CELEBRITY GALAXY,1/30/2004,San Juan,Southern Caribbean,7,"1,860","1,870",1,1,2004,"13,020"
Royal Caribbean International,MAJESTY OF THE SEAS,1/30/2004,Miami,Bahamas,3,"2,395","2,354",1,1,2004,"7,185"
Celebrity Cruise Line,HORIZON,1/30/2004,Tampa,Western Caribbean,10,"1,334","1,354",1,1,2004,"13,340"
Carnival Cruise Line,CARNIVAL FASCINATION,1/30/2004,Miami,Bahamas,3,"2,044","2,052",1,1,2004,"6,132"
Carnival Cruise Line,CARNIVAL ECSTASY,1/30/2004,Long Beach,Mexico (Pacific),3,"2,164","2,052",1,1,2004,"6,492"
Princess Cruises,SUN PRINCESS,1/30/2004,Fort Lauderdale      ,Southern Caribbean,10,"1,987","1,950",1,1,2004,"19,870"
Celebrity Cruise Line,CELEBRITY MERCURY,1/30/2004,San Diego,Mexico (Pacific),10,"1,827","1,870",1,1,2004,"18,270"
Royal Caribbean International,MONARCH OF THE SEAS,1/30/2004,Los Angeles,Mexico (Pacific),3,"2,138","2,354",1,1,2004,"6,414"
Royal Caribbean International,SOVEREIGN OF THE SEAS,1/30/2004,Port Canaveral ,Bahamas,3,"2,378","2,276",1,1,2004,"7,134"
Carnival Cruise Line,GRAND CELEBRATION,1/31/2004,Galveston,Western Caribbean,5,"1,593","1,486",1,1,2004,"7,965"
Cunard Line,QUEEN MARY 2,1/31/2004,Fort Lauderdale      ,Southern Caribbean,11,"2,581","2,620",1,1,2004,"28,391"
Holland America Line,RYNDAM,1/31/2004,San Diego,Mexico (Pacific),7,"1,237","1,266",1,1,2004,"8,659"
Princess Cruises,GOLDEN PRINCESS,1/31/2004,Fort Lauderdale,Eastern Caribbean,7,"2,660","2,600",1,1,2004,"18,620"
Holland America Line,MAASDAM,1/31/2004,Norfolk,Eastern Caribbean,10,"1,193","1,266",1,1,2004,"11,930"
